timestamp,payload,accX,accY,accZ,ppg,ppg_max,ppg_min,ppg_diff,spO2,spO2_max,spO2_min,spO2_diff
2026-07-16T09:46:37.657010,a101009000950048004d01000000005d,,,,,,,,144,149,72,77
2026-07-16T09:46:37.659312,a10205ea1d8e191704770000000000e8,,,,1514,7566,6423,1143,,,,
2026-07-16T09:46:37.659607,a103203dfaaf013900000000000000e4,25,525,1967,,,,,,,,
2026-07-16T09:46:38.644665,a101008900950048004d010000000056,,,,,,,,137,149,72,77
2026-07-16T09:46:38.645703,a1021dbc1d8e191704770000000000d2,,,,7612,7566,6423,1143,,,,
2026-07-16T09:46:38.647166,a1031e42050503f00000000000000001,48,-1566,85,,,,,,,,
2026-07-16T09:46:39.635013,a101008500950048004d010000000052,,,,,,,,133,149,72,77
2026-07-16T09:46:39.636054,a1021dc01d8e191704770000000000d6,,,,7616,7566,6423,1143,,,,
2026-07-16T09:46:39.637407,a1031e81062d047d00000000000000f7,77,-1567,109,,,,,,,,
2026-07-16T09:46:40.669773,a101008500950048004d010000000052,,,,,,,,133,149,72,77
2026-07-16T09:46:40.670860,a1021dbf1d8e191704770000000000d5,,,,7615,7566,6423,1143,,,,
2026-07-16T09:46:40.671877,a1031cbc044c040000000000000000d0,64,-1588,76,,,,,,,,
2026-07-16T09:46:41.660657,a101007a00950048004d010000000047,,,,,,,,122,149,72,77
2026-07-16T09:46:41.661774,a1021dbb1d8e191704770000000000d1,,,,7611,7566,6423,1143,,,,
2026-07-16T09:46:41.662343,a1031e6f04e0038a00000000000000a2,58,-1553,64,,,,,,,,
2026-07-16T09:46:42.694387,a101007500950048004d010000000042,,,,,,,,117,149,72,77
2026-07-16T09:46:42.695235,a1021dbe1d8e191704770000000000d4,,,,7614,7566,6423,1143,,,,
2026-07-16T09:46:42.696355,a1031eee0623040f00000000000000ec,79,-1554,99,,,,,,,,
2026-07-16T09:46:43.638740,a101007900950048004d010000000046,,,,,,,,121,149,72,77
2026-07-16T09:46:43.640533,a1021dbe1d8e191704770000000000d4,,,,7614,7566,6423,1143,,,,
2026-07-16T09:46:43.641573,a1031e7804f2042f0000000000000063,79,-1560,66,,,,,,,,
2026-07-16T09:46:44.628376,a101007a00950048004d010000000047,,,,,,,,122,149,72,77
2026-07-16T09:46:44.674192,a1021dbe1d8e191704770000000000d4,,,,7614,7566,6423,1143,,,,
2026-07-16T09:46:44.674955,a1031f240520043e000000000000004e,78,-1548,80,,,,,,,,
2026-07-16T09:46:45.663099,a101007900950048004d010000000046,,,,,,,,121,149,72,77
2026-07-16T09:46:45.664730,a1021dbd1d8e191704770000000000d3,,,,7613,7566,6423,1143,,,,
2026-07-16T09:46:45.665180,a1031eee049f04b3000000000000000a,67,-1554,79,,,,,,,,
2026-07-16T09:46:46.653674,a101007b00950048004d010000000048,,,,,,,,123,149,72,77
2026-07-16T09:46:46.654163,a1021dbd1d8e191704770000000000d3,,,,7613,7566,6423,1143,,,,
2026-07-16T09:46:46.654837,a1031e54050e04650000000000000092,69,-1564,94,,,,,,,,
2026-07-16T09:46:47.644337,a101007b00950048004d010000000048,,,,,,,,123,149,72,77
2026-07-16T09:46:47.645101,a1021dbe1d8e191704770000000000d4,,,,7614,7566,6423,1143,,,,
2026-07-16T09:46:47.645933,a1031f090505043e0000000000000018,78,-1543,85,,,,,,,,
